index,省/直辖市,地市,许可证编号,单位名称,行业类别,有效期限,发证日期,查看,下载状态,副本下载状态
0,广东省,深圳市,91440300764977372H001U,深圳市劲拓自动化设备股份有限公司,其他电子专用设备制造,2019-12-09至2022-12-08,2019-12-09,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=5db9d570adac4b239396cb1462e165dd,2,2
1,广东省,深圳市,914403002793805640001P,深圳市育明包装制品有限公司,纸制品制造,2020-07-13至2023-07-12,2020-07-13,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=27a6e4bb5ae2453ca3374361d9358095,2,2
2,广东省,深圳市,914403007904506545001V,深圳市宏烽盛五金制品有限公司,其他金属制日用品制造,2021-08-24至2026-08-23,2021-08-24,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=abad2486c2fa47d7ac205fc2215e5f86,2,2
3,广东省,深圳市,92440300L06932557P001P,深圳市宝安区公明佳源纸制品厂,加工纸制造,2020-05-27至2023-05-26,2020-05-27,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=528bc7de0f8c4250b86abea78ea9581a,2,2
4,广东省,深圳市,91440300668544497Y003U,深圳市欣茂鑫实业有限公司（长山工业区）,有色金属铸造,2021-08-24至2026-08-23,2021-08-24,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=4f4357cdb8114fe7a7e16cb52a359d23,2,2
5,广东省,深圳市,91440300359219164Q002R,深圳市晟世再生能源有限公司,生物质能发电,2021-08-24至2026-08-23,2021-08-24,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=2acfa335657a4646ad550b2aa8dde187,2,2
6,广东省,深圳市,914403007084838021001W,多鱼食品（深圳）有限公司,水产品加工,2020-06-23至2023-06-22,2020-06-23,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=feed2cd88cc042fa9b6f7f82e0028cc0,2,2
7,广东省,深圳市,91440300192248376H002R,深圳市广汇源环境水务有限公司（坂田河黑臭水体治理项目）,其他水的处理、利用与分配,2021-07-30至2026-07-29,2021-07-30,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=ecdc7970ec784b7ea5458e22be71bd0c,2,2
8,广东省,深圳市,914403005891999048002R,深圳市宏利通纸品有限公司,纸和纸板容器制造,2021-08-23至2026-08-22,2021-08-23,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=1042058e3bab47afb6e7c15b6d2a0fed,2,2
9,广东省,深圳市,91440300715275059F001U,深圳市艾斯沃安防科技有限公司,其他家具制造,2020-08-05至2023-08-04,2020-08-05,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=da97752e22ba42c5832e3889b56c5c18,2,2
10,广东省,深圳市,91440300795439964P001Q,山内精密电子(深圳)有限公司,橡胶零件制造,2020-06-11至2023-06-10,2020-06-11,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=0515b664b0284b6787f5b52f88118fb1,2,2
11,广东省,深圳市,9144030061892482X3001X,确信爱法金属（深圳）有限公司,其他有色金属压延加工,2019-12-02至2022-12-01,2019-12-02,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=ec15305a12004b10a2fdf649ccb2fa9a,2,2
12,广东省,深圳市,91440300MA5FATL15J001U,深圳市沃尔电力技术有限公司,橡胶板、管、带制造,2021-07-12至2026-07-11,2021-07-12,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=04399eb96dc8478ea2516e8eb07a0be3,2,2
13,广东省,深圳市,91440300687586318F001Q,深圳市中油中杰加油站有限公司,机动车燃油零售,2020-06-16至2023-06-15,2020-06-16,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=a1dcfab5a08a4d178f7b38dd4f9250e4,2,2
14,广东省,深圳市,9144030005615843XL001R,荣讯塑胶电子制品（深圳）有限公司,塑料零件及其他塑料制品制造,2021-08-16至2026-08-15,2021-08-16,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=955dd29386e34fc4ac2926ef8569a04b,2,2
15,广东省,深圳市,91440300MA5GWFG08J001Q,延长壳牌（广东）石油有限公司深圳宝荷加油站,机动车燃油零售,2021-08-16至2026-08-15,2021-08-16,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=afab636fdad948ae9c1d03a64f750dfa,2,2
16,广东省,深圳市,91440300MA5G8AGJ99001U,深圳惠通陆华汽车销售服务有限公司,汽车修理与维护,2021-08-13至2026-08-12,2021-08-13,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=009f635d13534f1b97f4f521370a683f,2,2
17,广东省,深圳市,914403007663614835002R,谏早电子科技（深圳）有限公司,变压器、整流器和电感器制造,2021-08-13至2026-08-12,2021-08-13,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=f86b940518d9477abb0b24bc99b20543,2,2
18,广东省,深圳市,12440306G34789288C003R,深圳市宝安区中心血站,采供血机构服务,2021-08-12至2026-08-11,2021-08-12,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=b8fc53c45b6243289d620ce4ec4f8c0b,2,2
19,广东省,深圳市,91440300MA5DK95Y1L002R,深圳天元中医肛肠医院,专科医院,2021-08-12至2026-08-11,2021-08-12,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=c22d83c7c3b2457e9f344a8a2626571c,2,2
20,广东省,深圳市,91440300568547404N001R,深圳市晶明视眼镜有限公司,眼镜制造,2021-08-11至2026-08-10,2021-08-11,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=f795618a3d2146fd876e15399a5a6b6d,2,2
21,广东省,深圳市,91440300192415496H001V,深圳市光汇石油化工股份有限公司,油气仓储,2020-12-10至2023-12-09,2020-12-10,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=6b88ec6103b74f4598cf1c9ecade443b,2,2
22,广东省,深圳市,12440308455767304E002V,深圳市盐田区人民医院,综合医院,2020-08-24至2023-08-23,2020-08-24,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=959462572f684ff1b0083f2988e22199,2,2
23,广东省,深圳市,91440300MA5DH8547M001V,深圳市博澳能源技术开发有限公司,锂离子电池制造,2019-12-03至2022-12-02,2019-12-03,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=99972ce2944548e5969170babe32366f,2,2
24,广东省,深圳市,91440300088550700U001Q,深圳百利纸盒制品有限公司,包装装潢及其他印刷,2020-06-30至2023-06-29,2020-06-30,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=be5ea9f7cf7f4cfb92d40896aaaa94de,2,2
25,广东省,深圳市,91440300779889770N001Q,阿普罗科技（深圳）有限公司,其他通用零部件制造,2020-08-28至2023-08-27,2020-08-28,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=b86c23ef59ad4529ab7051b454cdbb21,2,2
26,广东省,深圳市,914403002794125977001Q,深圳市大嘉华食品实业有限公司,糕点、面包制造,2019-12-20至2022-12-19,2019-12-20,/perxxgkinfo/xkgkAction!xkgk.action?xkgk=getxxgkContent&dataid=83f2db0814d04b1f8f8877bab4c2fe50,2,2
